node1,node2,start,end
21,20,4319,4319
21,27,4319,4944
21,2,4319,4872
21,35,4319,4944
32,9,4325,4950
32,1,4325,4950
32,18,4325,5766
35,27,4349,4349
35,21,4349,5537
35,20,4349,4974
35,15,4349,4974
35,6,4349,6171
35,33,4349,4974
35,2,4356,4948
12,11,4357,4357
12,24,4357,4357
12,31,4357,4357
0,1,4368,4993
0,17,4368,5486
0,23,4374,4999
30,4,4377,4377
30,34,4377,4377
23,25,4409,4409
23,19,4409,4409
23,22,4409,4409
23,34,4409,4409
23,18,4409,4417
23,14,4409,5034
23,3,4412,4412
23,0,4412,4412
23,31,4412,4412
23,4,4412,5037
23,32,4412,5037
23,9,4412,5037
23,5,4417,5042
1,19,4427,4427
1,32,4427,4430
1,14,4427,4430
1,0,4427,4430
1,22,4430,6311
1,3,4430,6207
6,23,4503,4503
6,21,4503,4503
6,31,4503,4503
6,20,4503,4503
6,11,4503,5128
6,24,4503,5128
33,11,4529,4529
33,21,4529,4534
33,31,4529,4540
33,2,4529,5154
33,35,4529,6839
33,6,4529,5154
33,24,4529,5154
14,17,4530,4530
14,25,4530,4530
14,13,4530,4530
14,23,4530,6221
33,25,4534,4534
16,12,4536,4917
16,30,4536,5096
16,8,4536,5096
33,15,4540,5165
33,27,4540,5165
2,11,4545,4545
2,27,4545,5170
2,15,4545,5170
2,33,4545,5714
3,19,4550,5646
3,17,4550,5175
17,32,4562,4564
17,14,4562,4564
17,3,4562,5115
17,1,4562,5115
17,5,4562,5418
17,25,4564,5189
25,23,4566,4566
25,34,4566,5191
25,19,4566,5157
25,1,4566,5191
25,5,4566,5191
25,13,4570,4570
25,33,4570,4570
25,22,4570,4572
25,32,4570,4572
25,3,4570,5195
25,4,4572,5157
34,32,4581,4581
34,5,4581,5137
34,18,4581,5206
34,0,4586,4586
34,17,4586,5211
34,25,4586,5157
4,13,4613,6301
4,18,4613,4654
4,9,4613,5307
4,17,4616,4616
4,1,4616,4616
4,5,4616,6561
22,13,4620,4620
22,14,4620,4620
22,23,4620,4625
22,3,4620,5245
22,32,4625,4878
15,27,4649,4649
15,11,4649,4661
15,2,4649,6768
15,24,4649,5274
15,33,4649,5714
15,31,4649,5274
15,35,4649,9443
18,25,4654,5279
18,9,4654,6905
15,20,4655,4655
15,6,4655,4655
18,13,4658,5283
18,34,4658,6908
31,33,4709,4709
31,24,4709,4709
31,2,4709,5334
31,15,4709,9804
31,27,4709,5334
31,35,4709,5334
31,6,4715,4715
31,20,4715,5340
9,13,4743,4743
9,23,4743,4743
9,32,4743,4743
27,6,4769,4769
27,31,4769,4781
27,20,4769,5394
27,33,4769,5714
27,35,4769,5394
27,24,4769,5394
27,21,4774,4781
27,11,4774,5399
27,15,4781,4781
20,15,4829,4829
20,35,4829,4840
20,33,4829,5454
20,27,4829,5955
20,31,4829,8806
20,24,4829,5454
20,2,4829,5454
19,17,4831,4831
19,5,4831,4833
19,13,4833,4833
5,0,4857,4857
21,33,4872,5497
32,23,4878,5432
32,25,4881,4881
32,0,4881,4881
32,17,4881,5506
12,8,4910,5748
12,30,4910,6032
0,18,4925,4925
0,4,4925,4925
0,14,4925,5550
35,24,4948,5573
35,31,4948,8886
11,27,4949,4953
11,6,4949,4953
11,20,4949,5574
11,31,4949,5574
11,2,4949,5574
11,35,4949,5574
24,5,4949,4949
24,16,4949,4949
24,2,4949,4953
24,6,4949,5544
24,27,4949,8752
24,35,4949,5537
11,18,4953,4953
11,24,4953,5578
24,11,4953,4953
24,15,4953,4953
11,33,4956,4956
24,33,4959,6133
24,31,4959,5584
1,4,4981,4981
1,18,4981,5538
1,25,4981,5538
1,23,4981,5542
1,13,4981,5606
23,19,5002,5002
23,34,5002,5002
23,22,5002,5627
13,1,5009,5009
13,9,5009,5009
13,32,5009,5014
13,14,5009,5014
13,17,5009,5605
13,18,5009,5770
13,23,5009,5634
13,5,5014,5014
13,0,5014,5020
13,25,5014,5639
6,17,5056,5614
6,33,5056,7953
6,15,5063,5063
14,22,5087,5087
14,0,5087,5089
14,1,5089,5089
3,32,5093,5093
3,13,5093,5093
3,25,5093,5093
16,24,5096,5096
2,31,5098,5306
2,24,5098,5723
2,20,5098,10211
17,35,5115,5115
33,17,5125,5125
33,18,5125,5125
33,20,5125,5125
34,9,5137,5762
34,23,5137,5762
25,18,5157,5209
25,17,5157,5672
25,0,5157,5782
4,22,5167,5167
4,14,5167,5727
4,25,5167,6862
22,18,5176,5176
22,4,5176,5176
22,17,5176,5733
18,17,5209,5209
18,23,5209,5209
18,33,5209,5209
15,27,5246,5871
9,17,5300,5925
9,14,5300,6448
9,34,5300,5698
31,33,5306,5306
31,11,5306,5306
31,24,5306,6477
19,1,5384,5384
19,23,5384,6518
19,25,5384,7085
5,1,5414,5414
5,9,5414,6039
5,23,5418,5591
5,25,5418,6871
20,15,5425,5425
20,11,5425,6596
32,19,5432,5992
32,34,5432,6057
21,24,5433,5433
21,31,5433,6058
0,25,5482,5482
0,22,5486,6060
0,34,5486,6618
35,11,5537,7215
1,5,5538,6116
1,9,5538,6674
11,23,5541,5541
11,15,5541,6130
1,34,5542,5542
1,17,5542,6167
1,19,5542,6680
24,16,5544,5544
24,21,5544,5544
24,5,5544,5544
23,25,5591,5591
23,0,5591,5591
23,13,5591,5591
23,17,5591,5591
23,3,5591,5591
6,27,5614,6239
6,31,5614,7311
2,6,5659,6284
14,25,5663,6225
14,5,5663,6229
17,19,5672,5672
17,24,5672,5672
17,23,5672,5672
17,13,5672,5674
17,34,5672,5698
17,30,5674,5674
17,9,5674,5881
17,0,5674,6811
34,13,5694,5698
34,4,5694,6842
34,14,5694,6800
33,4,5714,5714
33,11,5714,6339
4,23,5724,5724
4,11,5724,6301
4,17,5727,5727
4,1,5727,6352
22,34,5733,5733
22,9,5737,6362
22,23,5737,6716
25,13,5746,6871
25,23,5746,6371
18,26,5766,5766
18,3,5766,6344
18,22,5766,6391
18,19,5770,6395
18,4,5770,6859
15,20,5835,6460
9,23,5881,6716
9,5,5881,6550
31,21,5895,6544
19,22,5941,5941
19,18,5944,5944
19,17,5944,6518
19,13,5944,6569
27,2,5955,6768
27,6,5955,6750
21,20,5986,6544
32,9,5989,5989
32,5,5989,5989
32,4,5989,6614
32,0,5992,6617
21,6,5993,5993
20,6,6014,6639
12,26,6025,6025
0,9,6060,6060
0,4,6060,6685
1,32,6116,6741
11,18,6130,6130
11,6,6130,6130
24,11,6133,6715
24,2,6133,6768
24,15,6133,10041
24,20,6133,8811
6,2,6171,6212
23,28,6173,6173
23,18,6173,6716
6,21,6176,6750
6,20,6176,7311
13,14,6194,6194
13,1,6194,6194
13,34,6194,7319
13,32,6194,6819
16,10,6204,6829
3,9,6207,6207
3,5,6207,6207
3,22,6207,6207
3,23,6207,6760
16,28,6211,6836
2,11,6212,6212
14,3,6225,6225
14,1,6225,6850
14,18,6225,6800
17,18,6248,6248
17,6,6248,6248
17,22,6248,6809
17,1,6248,6680
17,3,6248,6811
17,32,6248,6566
10,16,6269,6785
10,28,6269,6894
34,32,6272,6272
34,22,6272,6830
34,5,6272,6550
10,12,6283,6283
33,21,6296,6296
33,31,6296,6839
22,4,6311,6311
25,32,6328,6328
25,22,6328,6328
25,14,6328,6871
18,1,6344,6969
18,17,6344,6908
26,30,6396,6396
15,6,6417,6960
9,19,6439,6439
9,25,6439,6444
9,22,6439,6869
9,4,6444,6444
9,13,6448,6448
9,32,6448,7073
28,10,6509,7108
28,12,6509,7134
28,16,6509,7343
19,4,6518,7143
27,21,6537,6537
27,31,6537,8747
27,15,6537,9748
21,27,6544,8245
5,22,6550,6561
5,32,6550,7175
5,13,6554,6561
5,18,6561,6561
32,23,6566,6566
32,3,6566,7124
20,35,6596,8253
12,28,6606,6606
12,16,6606,7231
0,5,6618,6618
0,1,6618,6628
0,3,6618,7243
0,13,6622,6628
0,32,6622,6628
0,18,6622,6628
35,27,6662,6662
1,0,6674,6680
1,14,6677,6677
1,25,6677,6677
1,18,6677,6905
1,13,6680,6680
1,23,6680,6680
1,34,6680,7305
11,33,6712,6839
23,34,6716,6716
6,17,6750,7308
3,25,6760,6767
3,13,6767,6767
3,18,6767,6767
3,2,6767,6767
13,19,6776,6776
16,12,6785,6785
14,23,6800,6800
14,22,6800,7425
17,19,6806,6806
17,4,6806,6806
17,23,6806,6811
17,25,6806,6811
17,13,6811,6811
34,19,6830,6830
34,17,6835,6835
33,20,6839,7139
34,9,6842,6842
4,32,6859,6866
4,34,6859,6866
4,14,6862,6862
4,22,6862,6866
4,19,6866,6866
4,0,6866,6866
4,17,6866,6866
22,34,6869,6872
22,18,6869,6872
25,9,6871,6871
25,3,6871,6871
22,5,6872,6872
22,25,6875,6875
22,13,6875,6875
22,17,6875,6875
18,23,6902,6908
18,32,6905,6905
18,25,6908,7533
7,30,6929,6943
9,19,7019,7019
31,11,7020,7020
19,9,7076,7076
19,22,7076,7076
19,3,7076,7085
19,1,7080,7080
19,18,7080,7085
19,17,7085,7085
19,23,7085,7085
32,1,7124,7124
32,18,7124,7124
32,22,7124,7128
32,9,7124,7588
32,19,7127,7127
32,13,7127,7128
32,23,7128,7128
32,14,7128,7128
5,0,7132,7132
5,34,7132,7132
5,19,7132,7132
5,9,7132,7132
20,15,7139,10322
0,5,7199,7199
0,25,7199,7199
0,14,7199,7199
0,17,7199,7199
0,19,7199,7199
35,21,7215,7215
35,2,7215,7840
1,9,7251,7876
1,5,7251,7876
11,27,7255,7255
24,12,7258,7258
24,6,7258,7883
23,13,7269,7269
23,17,7269,7269
23,3,7269,7269
23,24,7269,7269
23,19,7269,7269
23,25,7269,7424
6,35,7308,7314
6,11,7308,7933
6,24,7311,7811
3,0,7318,7318
13,17,7319,7319
13,9,7319,7319
2,17,7332,7332
33,2,7392,10198
34,30,7413,7413
34,20,7413,7413
34,3,7413,7413
34,32,7413,8268
25,18,7424,7424
25,2,7424,7424
25,30,7424,7424
22,14,7446,7964
10,11,7457,8082
10,31,7457,8082
10,35,7457,8082
10,27,7457,8082
10,21,7457,8082
10,6,7457,8082
18,0,7479,7479
18,20,7479,7479
31,10,7573,7573
31,6,7573,8198
9,16,7588,7588
9,1,7588,7588
27,10,7633,8747
27,20,7633,7692
21,31,7682,7682
21,11,7682,7682
21,24,7682,8245
21,10,7682,9966
21,20,7682,8307
28,9,7697,7697
28,34,7697,7697
28,5,7697,7697
32,29,7699,7699
32,5,7699,8268
5,16,7701,8326
12,25,7749,7749
12,23,7749,7749
35,24,7776,7776
11,21,7808,8433
11,6,7808,9033
11,28,7808,8433
24,33,7811,7811
1,24,7820,7820
1,16,7820,8445
6,27,7885,7885
6,21,7885,7885
6,2,7885,7885
6,10,7885,8454
6,28,7885,8510
2,6,7906,7906
2,11,7906,7906
2,24,7906,7906
2,15,7906,9047
2,35,7906,10589
16,12,7928,7928
16,32,7928,7928
16,9,7928,7928
16,5,7928,7928
16,34,7928,8553
16,1,7928,9015
33,21,7953,7953
33,27,7953,8506
33,15,7953,10322
34,16,7982,8584
34,1,7982,10179
10,33,8039,8039
15,28,8074,8074
31,2,8134,8759
31,33,8134,8759
27,28,8194,8194
21,6,8240,8252
21,33,8240,8823
21,28,8240,8865
21,2,8245,8252
21,11,8252,8369
20,10,8253,8253
32,1,8268,8268
5,4,8275,8275
28,2,8279,8279
28,11,8279,8279
28,27,8279,8904
28,35,8279,8904
28,20,8279,8904
28,21,8279,11044
5,1,8282,8282
5,4,8296,8921
5,1,8303,8303
35,10,8329,10020
35,27,8335,8886
11,10,8369,8582
24,28,8372,8997
1,4,8394,8587
1,24,8422,8422
6,20,8454,9048
6,31,8454,9798
2,27,8464,9089
2,31,8464,8687
2,10,8464,9089
2,28,8476,8476
2,24,8476,8925
16,4,8497,9122
33,31,8506,8506
33,11,8506,8511
33,35,8506,10589
33,28,8511,8511
33,10,8511,9062
34,4,8556,9181
4,32,8580,8594
4,16,8580,8608
4,5,8580,10358
4,34,8580,10334
10,20,8582,8582
10,24,8582,9207
4,1,8608,10172
31,21,8690,8690
31,11,8690,8690
27,33,8747,8747
27,21,8752,9303
20,33,8806,9362
20,28,8806,9362
28,15,8822,8822
28,33,8822,8822
28,24,8822,8822
28,31,8822,9447
28,10,8822,10493
21,31,8823,8823
29,5,8858,9446
35,28,8886,8886
35,24,8886,10020
35,11,8886,10589
24,10,8925,9481
11,20,8928,9553
24,33,8930,10615
3,0,9014,9639
3,9,9021,9028
6,35,9028,10578
6,27,9033,9033
6,2,9033,9658
6,10,9039,10803
6,21,9045,9670
6,11,9048,10036
33,21,9062,9624
16,12,9085,9085
16,34,9092,9099
31,28,9241,9241
27,28,9303,9303
27,2,9303,9616
20,21,9362,9362
20,35,9362,9987
28,6,9375,10493
35,20,9443,9922
35,21,9446,10071
5,1,9477,9477
11,21,9479,9966
24,1,9481,9481
12,24,9506,9506
0,3,9544,10127
1,24,9596,9596
2,11,9616,10241
2,6,9616,10194
33,31,9619,10244
33,27,9624,9624
33,6,9624,9624
10,33,9696,9696
10,2,9696,10254
15,28,9741,9741
15,6,9741,10322
31,2,9798,9804
31,24,9798,10378
31,11,9804,9804
27,31,9860,9865
27,33,9860,10485
20,11,9919,9922
20,31,9919,10496
20,10,9922,10496
20,24,9922,16453
28,2,9936,9936
21,2,9966,9966
21,24,9966,9966
21,27,9966,9986
21,6,9972,9993
21,35,9979,9979
21,10,9986,9993
21,24,9993,9993
21,2,9993,10618
35,28,10020,10489
11,2,10036,10036
24,11,10038,10041
24,6,10038,10615
24,27,10041,10041
24,21,10041,10041
11,27,10043,10043
1,5,10172,10172
2,15,10194,10200
33,10,10198,10762
2,28,10200,10200
2,27,10200,10211
2,21,10211,10211
6,27,10220,10220
10,11,10249,10254
31,21,10378,10378
31,33,10378,10378
27,28,10439,10439
27,35,10439,10439
27,21,10439,10439
28,11,10489,10489
28,24,10489,10489
28,33,10493,10493
20,33,10496,11121
35,27,10578,10583
21,11,10579,10586
35,15,10583,10589
21,31,10586,10586
35,20,10589,10589
35,31,10589,10589
24,2,10615,10615
24,10,10615,10615
11,31,10617,10617
12,24,10677,10677
5,1,10682,10682
0,3,10749,10749
33,28,10756,10760
33,11,10756,11381
33,6,10760,11333
33,20,10762,10762
33,27,10762,11011
1,20,10794,10794
1,5,10794,10801
1,34,10801,15420
10,20,10805,10805
15,28,10880,10880
15,21,10880,11505
34,2,10949,11574
34,5,10963,10963
4,33,10973,10980
4,20,10980,10980
4,6,10987,10987
4,11,10987,10987
27,4,10997,10997
27,11,11011,11011
27,6,11011,11636
28,15,11044,11044
20,12,11061,11061
20,5,11061,11068
20,4,11068,11068
21,15,11167,11465
11,4,11175,11189
11,6,11175,11189
11,33,11189,11333
5,12,11232,11857
12,27,11285,11285
12,5,11285,11285
12,6,11285,11285
12,33,11285,11292
12,4,11285,11292
33,12,11333,11333
33,4,11333,11333
1,2,11351,11976
2,1,11385,13644
2,34,11385,13735
6,4,11411,11425
6,33,11411,11425
6,27,11411,20735
34,11,11513,11513
27,29,11582,12207
11,34,11760,11760
11,29,11760,11760
29,11,11796,12352
12,5,11849,15299
33,1,11902,11902
33,2,11902,12527
33,34,11902,12527
1,11,11946,11946
2,33,11961,12476
34,33,12108,12483
11,2,12329,12929
29,27,12352,12739
33,11,12490,12923
33,1,12497,13122
27,11,12725,12732
27,2,12739,12739
29,6,12895,13520
11,6,12903,12923
11,1,12917,13515
11,29,12917,14686
11,34,12923,12929
11,27,12923,13515
12,24,13000,13000
1,33,13045,13644
33,27,13090,13090
33,34,13090,13678
33,2,13090,15432
33,6,13097,13722
6,33,13126,14875
27,29,13339,15850
27,33,13346,13971
11,6,13522,14147
11,33,13522,14147
6,1,13669,13669
2,4,13735,13735
27,11,13927,14552
33,11,14254,14868
33,35,14254,14879
33,27,14254,21849
33,29,14260,14875
6,29,14268,16623
2,11,14291,14291
2,35,14291,14916
11,27,14679,17009
11,35,14686,14686
35,2,14696,14703
35,33,14696,18710
6,11,14834,15425
29,11,15256,15270
29,33,15277,15277
1,4,15413,15413
6,35,15425,16037
33,11,15432,15432
2,6,15433,15433
34,6,15568,15568
34,2,15568,15574
34,33,15568,15588
34,35,15568,15588
34,11,15588,15588
35,2,15855,18710
11,2,15858,17552
12,1,15925,15925
12,34,15925,15925
12,27,15925,15925
33,6,16027,16652
6,2,16044,16044
34,4,16161,16161
34,12,16161,16161
4,12,16179,16186
4,1,16186,16186
35,6,16411,16411
29,11,16420,17045
5,33,16451,16451
5,27,16451,16451
5,6,16451,16451
11,5,16453,16453
11,29,16453,17009
11,35,16453,18151
1,34,16570,19510
33,4,16583,16583
33,5,16583,16583
6,35,16617,16623
6,5,16617,16623
6,11,16617,16623
6,33,16617,18392
27,35,16833,16833
29,33,17019,17019
33,29,17126,17126
33,11,17126,24185
33,2,17126,24266
2,11,17782,17789
29,16,18179,18179
0,4,18277,18277
6,35,18392,18952
6,11,18392,20500
27,35,18541,19166
35,27,18710,18710
11,27,18717,19342
33,16,18882,19507
16,2,19006,19631
16,11,19006,19631
11,16,19308,21952
6,33,19526,20728
2,16,19558,21351
16,27,19580,19580
27,11,19737,19758
11,2,19927,19927
0,3,20046,20053
6,2,20133,20133
6,16,20133,20133
16,6,20187,20812
27,2,20331,20331
11,27,20507,21132
0,3,20629,21254
1,34,20667,24349
3,0,20677,21858
6,16,20735,20735
16,33,20775,20775
27,16,20901,20901
27,11,20901,23841
11,2,21077,21702
16,33,21351,22547
11,6,21676,22301
6,33,21898,22523
6,27,21898,24443
6,11,21905,21905
16,6,21959,22547
16,2,21959,22463
33,28,22409,22409
2,28,22456,22470
2,6,22456,22470
2,11,22456,22470
16,28,22554,22554
16,11,22554,24317
28,33,22644,22644
28,16,22644,22644
28,2,22644,22644
28,6,22644,22644
33,6,22983,22983
33,27,22983,24443
2,16,23071,24266
27,16,23234,23234
2,27,23666,23666
2,11,23666,24017
16,33,23720,23720
16,6,23720,25437
6,2,24263,24263
16,27,24317,24317
27,16,24436,24436
11,6,24612,24619
11,2,24619,24619
33,6,24747,24754
33,11,24761,24761
16,33,24869,25494
33,6,25362,25362
6,33,25376,25376
2,31,25429,26054
31,2,25545,28911
32,8,26402,27027
33,16,26557,27720
8,32,26762,26762
3,0,27708,27708
0,3,28218,28810
32,8,29310,29310
33,16,29440,29440
25,34,33544,33544
34,25,33678,34303
25,23,34156,34781
34,23,34253,34878
23,34,34608,40564
23,25,34608,40527
25,34,34763,35903
18,24,36629,36629
25,34,37088,39978
18,24,38297,38866
18,24,38894,38894
0,3,40355,40369
34,25,40564,40564
3,14,40986,40986
3,14,41014,41014
34,25,41181,41181
34,25,42348,42764
25,34,42792,44664
3,14,43372,43372
14,3,44056,44063
34,25,44685,45733
25,23,45733,45733
0,3,46790,47415
25,34,46892,47517
14,0,46992,46992
8,12,47083,47083
3,0,47455,47955
34,25,47600,55044
0,14,47955,47955
14,33,48143,48143
23,25,48506,49131
33,0,48587,48587
25,23,48640,48640
8,16,48761,48761
3,14,49190,49190
8,18,49322,49322
8,19,49322,49322
23,34,49629,49629
34,23,51679,51679
14,9,52218,52218
28,2,53517,53517
23,34,56072,56079
25,23,56220,56234
25,23,61963,61963
25,23,63121,63121
23,25,67128,67128
23,25,76909,76909
10,28,82225,82850
28,10,82464,85711
25,23,84566,84566
10,28,86851,87442
25,23,86879,87993
23,25,88973,89540
25,23,90839,91464
23,25,91268,91268
23,25,92460,92460
23,25,94226,94233
25,23,94965,94965
17,14,98435,98435
17,3,98435,98435
17,18,98435,100674
17,4,98435,100674
17,5,98435,101227
17,1,98435,101233
17,32,98435,101233
17,29,98435,101233
17,8,99017,99017
17,9,99017,99560
17,12,99560,100113
17,19,99560,100113
17,8,100674,100674
17,14,100674,101233
17,13,100674,102922
17,3,101227,101227
17,6,101227,103494
25,23,101228,101228
17,27,103480,103487
17,21,103480,103494
17,13,103494,103494
17,1,104065,106994
17,31,105208,105208
